年月,统计项目,医生编号,医生,医生等级,报告数量,审核数量,总数量
2021-08,头部撰写数,01,戴榕全,高级,1,1,2
2021-09,头部撰写数,01,戴榕全,高级,2,0,2
2021-10,头部撰写数,01,戴榕全,高级,1,0,1
2021-11,头部撰写数,01,戴榕全,高级,4,1,5
2022-01,头部撰写数,01,戴榕全,高级,1,2,3
2022-02,头部撰写数,01,戴榕全,高级,1,3,4
2022-03,头部撰写数,01,戴榕全,高级,0,2,2
2022-04,头部撰写数,01,戴榕全,高级,1,4,5
2022-06,头部撰写数,01,戴榕全,高级,1,2,3
2022-07,头部撰写数,01,戴榕全,高级,0,4,4
2022-08,头部撰写数,01,戴榕全,高级,1,3,4
2022-09,头部撰写数,01,戴榕全,高级,1,4,5
2022-10,头部撰写数,01,戴榕全,高级,2,2,4
2022-11,头部撰写数,01,戴榕全,高级,1,2,3
2023-01,头部撰写数,01,戴榕全,高级,0,1,1
2023-02,头部撰写数,01,戴榕全,高级,2,0,2
2023-03,头部撰写数,01,戴榕全,高级,0,2,2
2023-05,头部撰写数,01,戴榕全,高级,1,2,3
2023-06,头部撰写数,01,戴榕全,高级,1,2,3
2023-07,头部撰写数,01,戴榕全,高级,0,2,2
2023-08,头部撰写数,01,戴榕全,高级,1,0,1
2023-09,头部撰写数,01,戴榕全,高级,2,3,5
2023-10,头部撰写数,01,戴榕全,高级,0,9,9
2023-11,头部撰写数,01,戴榕全,高级,3,14,17
2023-12,头部撰写数,01,戴榕全,高级,1,8,9
2024-01,头部撰写数,01,戴榕全,高级,5,14,19
2024-02,头部撰写数,01,戴榕全,高级,2,9,11
2024-03,头部撰写数,01,戴榕全,高级,0,5,5
2024-04,头部撰写数,01,戴榕全,高级,6,19,25
2024-05,头部撰写数,01,戴榕全,高级,0,7,7
2024-06,头部撰写数,01,戴榕全,高级,1,11,12
2024-07,头部撰写数,01,戴榕全,高级,3,15,18
2024-08,头部撰写数,01,戴榕全,高级,0,6,6
2024-09,头部撰写数,01,戴榕全,高级,3,14,17
2024-10,头部撰写数,01,戴榕全,高级,4,12,16
2024-11,头部撰写数,01,戴榕全,高级,4,15,19
2024-12,头部撰写数,01,戴榕全,高级,2,16,18
2025-01,头部撰写数,01,戴榕全,高级,2,7,9
2025-02,头部撰写数,01,戴榕全,高级,0,7,7
2025-03,头部撰写数,01,戴榕全,高级,1,6,7
2025-04,头部撰写数,01,戴榕全,高级,4,6,10
2025-05,头部撰写数,01,戴榕全,高级,4,30,34
2025-06,头部撰写数,01,戴榕全,高级,5,9,14
2025-07,头部撰写数,01,戴榕全,高级,0,10,10
2025-08,头部撰写数,01,戴榕全,高级,5,10,15
2025-09,头部撰写数,01,戴榕全,高级,4,26,30
2025-10,头部撰写数,01,戴榕全,高级,1,11,12
2025-11,头部撰写数,01,戴榕全,高级,1,30,31
2025-12,头部撰写数,01,戴榕全,高级,2,18,20
2026-01,头部撰写数,01,戴榕全,高级,2,20,22
2026-02,头部撰写数,01,戴榕全,高级,0,10,10
2026-03,头部撰写数,01,戴榕全,高级,4,13,17
2026-04,头部撰写数,01,戴榕全,高级,0,21,21
2026-05,头部撰写数,01,戴榕全,高级,0,29,29
2026-06,头部撰写数,01,戴榕全,高级,2,40,42
2026-07,头部撰写数,01,戴榕全,高级,4,35,39
2021-08,头部撰写数,02,刘蕾,高级,3,1,4
2021-11,头部撰写数,02,刘蕾,高级,0,2,2
2022-01,头部撰写数,02,刘蕾,高级,0,1,1
2022-02,头部撰写数,02,刘蕾,高级,1,1,2
2022-04,头部撰写数,02,刘蕾,高级,0,2,2
2022-05,头部撰写数,02,刘蕾,高级,1,0,1
2022-06,头部撰写数,02,刘蕾,高级,1,3,4
2022-07,头部撰写数,02,刘蕾,高级,1,0,1
2022-09,头部撰写数,02,刘蕾,高级,1,1,2
2022-10,头部撰写数,02,刘蕾,高级,1,0,1
2022-11,头部撰写数,02,刘蕾,高级,0,1,1
2022-12,头部撰写数,02,刘蕾,高级,0,1,1
2023-01,头部撰写数,02,刘蕾,高级,1,2,3
2023-05,头部撰写数,02,刘蕾,高级,0,2,2
2023-06,头部撰写数,02,刘蕾,高级,0,3,3
2023-08,头部撰写数,02,刘蕾,高级,1,2,3
2023-09,头部撰写数,02,刘蕾,高级,0,1,1
2023-10,头部撰写数,02,刘蕾,高级,1,6,7
2023-11,头部撰写数,02,刘蕾,高级,1,6,7
2023-12,头部撰写数,02,刘蕾,高级,3,6,9
2024-01,头部撰写数,02,刘蕾,高级,1,8,9
2024-02,头部撰写数,02,刘蕾,高级,0,2,2
2024-03,头部撰写数,02,刘蕾,高级,2,7,9
2024-04,头部撰写数,02,刘蕾,高级,0,1,1
2024-05,头部撰写数,02,刘蕾,高级,0,4,4
2024-06,头部撰写数,02,刘蕾,高级,2,8,10
2024-07,头部撰写数,02,刘蕾,高级,4,8,12
2024-08,头部撰写数,02,刘蕾,高级,3,2,5
2024-09,头部撰写数,02,刘蕾,高级,5,8,13
2024-10,头部撰写数,02,刘蕾,高级,3,9,12
2024-11,头部撰写数,02,刘蕾,高级,2,9,11
2024-12,头部撰写数,02,刘蕾,高级,2,2,4
2025-01,头部撰写数,02,刘蕾,高级,0,8,8
2025-02,头部撰写数,02,刘蕾,高级,0,8,8
2025-03,头部撰写数,02,刘蕾,高级,2,14,16
2025-04,头部撰写数,02,刘蕾,高级,5,22,27
2025-05,头部撰写数,02,刘蕾,高级,2,9,11
2025-06,头部撰写数,02,刘蕾,高级,5,13,18
2025-07,头部撰写数,02,刘蕾,高级,1,12,13
2025-08,头部撰写数,02,刘蕾,高级,5,14,19
2025-09,头部撰写数,02,刘蕾,高级,3,17,20
2025-10,头部撰写数,02,刘蕾,高级,6,27,33
2025-11,头部撰写数,02,刘蕾,高级,2,14,16
2025-12,头部撰写数,02,刘蕾,高级,8,18,26
2026-01,头部撰写数,02,刘蕾,高级,0,8,8
2026-02,头部撰写数,02,刘蕾,高级,0,12,12
2026-03,头部撰写数,02,刘蕾,高级,3,6,9
