年月,X线项目,医生编号,医生,医生等级,报告数量,审核数量,总数量
2021-03,腹部,01,戴榕全,高级,0,1,1
2021-08,腹部,01,戴榕全,高级,0,1,1
2021-09,腹部,01,戴榕全,高级,3,0,3
2021-10,腹部,01,戴榕全,高级,1,0,1
2021-12,腹部,01,戴榕全,高级,1,1,2
2022-01,腹部,01,戴榕全,高级,2,1,3
2022-04,腹部,01,戴榕全,高级,0,1,1
2022-08,腹部,01,戴榕全,高级,2,0,2
2022-12,腹部,01,戴榕全,高级,1,0,1
2023-02,腹部,01,戴榕全,高级,1,0,1
2023-03,腹部,01,戴榕全,高级,0,1,1
2023-07,腹部,01,戴榕全,高级,1,0,1
2023-09,腹部,01,戴榕全,高级,1,0,1
2024-01,腹部,01,戴榕全,高级,1,21,22
2024-02,腹部,01,戴榕全,高级,1,14,15
2024-03,腹部,01,戴榕全,高级,1,6,7
2024-04,腹部,01,戴榕全,高级,1,27,28
2024-05,腹部,01,戴榕全,高级,11,11,22
2024-06,腹部,01,戴榕全,高级,2,6,8
2024-07,腹部,01,戴榕全,高级,2,8,10
2024-08,腹部,01,戴榕全,高级,5,9,14
2024-09,腹部,01,戴榕全,高级,6,11,17
2024-10,腹部,01,戴榕全,高级,1,8,9
2024-11,腹部,01,戴榕全,高级,3,4,7
2024-12,腹部,01,戴榕全,高级,2,12,14
2025-01,腹部,01,戴榕全,高级,0,1,1
2025-02,腹部,01,戴榕全,高级,5,10,15
2025-03,腹部,01,戴榕全,高级,1,4,5
2025-04,腹部,01,戴榕全,高级,0,4,4
2025-05,腹部,01,戴榕全,高级,6,22,28
2025-06,腹部,01,戴榕全,高级,0,4,4
2025-07,腹部,01,戴榕全,高级,2,4,6
2025-08,腹部,01,戴榕全,高级,4,9,13
2025-09,腹部,01,戴榕全,高级,5,16,21
2025-11,腹部,01,戴榕全,高级,1,5,6
2025-12,腹部,01,戴榕全,高级,3,7,10
2026-01,腹部,01,戴榕全,高级,0,8,8
2026-02,腹部,01,戴榕全,高级,2,11,13
2026-03,腹部,01,戴榕全,高级,7,16,23
2026-04,腹部,01,戴榕全,高级,0,9,9
2026-05,腹部,01,戴榕全,高级,2,6,8
2026-06,腹部,01,戴榕全,高级,2,8,10
2026-07,腹部,01,戴榕全,高级,5,13,18
2021-07,腹部,02,刘蕾,高级,0,1,1
2021-08,腹部,02,刘蕾,高级,0,1,1
2021-09,腹部,02,刘蕾,高级,0,1,1
2021-10,腹部,02,刘蕾,高级,1,2,3
2021-12,腹部,02,刘蕾,高级,1,0,1
2022-02,腹部,02,刘蕾,高级,1,0,1
2022-05,腹部,02,刘蕾,高级,0,1,1
2022-06,腹部,02,刘蕾,高级,2,0,2
2022-07,腹部,02,刘蕾,高级,0,1,1
2023-02,腹部,02,刘蕾,高级,0,1,1
2023-05,腹部,02,刘蕾,高级,0,1,1
2024-01,腹部,02,刘蕾,高级,0,2,2
2024-02,腹部,02,刘蕾,高级,0,11,11
2024-03,腹部,02,刘蕾,高级,0,9,9
2024-04,腹部,02,刘蕾,高级,0,4,4
2024-05,腹部,02,刘蕾,高级,0,4,4
2024-06,腹部,02,刘蕾,高级,0,1,1
2024-07,腹部,02,刘蕾,高级,0,7,7
2024-08,腹部,02,刘蕾,高级,0,2,2
2024-09,腹部,02,刘蕾,高级,0,5,5
2024-10,腹部,02,刘蕾,高级,1,1,2
2024-11,腹部,02,刘蕾,高级,5,12,17
2024-12,腹部,02,刘蕾,高级,2,7,9
2025-01,腹部,02,刘蕾,高级,0,6,6
2025-02,腹部,02,刘蕾,高级,0,14,14
2025-03,腹部,02,刘蕾,高级,1,10,11
2025-04,腹部,02,刘蕾,高级,2,9,11
2025-05,腹部,02,刘蕾,高级,0,1,1
2025-06,腹部,02,刘蕾,高级,0,7,7
2025-07,腹部,02,刘蕾,高级,0,5,5
2025-08,腹部,02,刘蕾,高级,0,10,10
2025-09,腹部,02,刘蕾,高级,1,17,18
